,Dates,Max Earnings
0,2013-02-08 TO 2014-02-07,2643.5840000000003
1,2013-02-11 TO 2014-02-10,2728.101
2,2013-02-12 TO 2014-02-10,2735.97
3,2013-02-13 TO 2014-02-13,2736.9440000000004
4,2013-02-14 TO 2014-02-13,2725.528
5,2013-02-15 TO 2014-02-13,2687.6885
6,2013-02-19 TO 2014-02-19,2829.86
7,2013-02-20 TO 2014-02-20,3040.72
8,2013-02-21 TO 2014-02-21,3050.2725
9,2013-02-22 TO 2014-02-21,3024.7475
10,2013-02-25 TO 2014-02-25,3196.5725
11,2013-02-26 TO 2014-02-25,3152.57
12,2013-02-27 TO 2014-02-25,3096.97
13,2013-02-28 TO 2014-02-25,3059.37
14,2013-03-01 TO 2014-02-25,2986.85
15,2013-03-04 TO 2014-02-25,2950.33
16,2013-03-05 TO 2014-02-25,2927.5000000000005
17,2013-03-06 TO 2014-02-25,2902.3042
18,2013-03-07 TO 2014-02-25,2892.5014
19,2013-03-08 TO 2014-02-25,2847.835
20,2013-03-11 TO 2014-02-25,2834.68
21,2013-03-12 TO 2014-02-25,2814.0828
22,2013-03-13 TO 2014-02-25,2776.235
23,2013-03-14 TO 2014-02-25,2764.8685
24,2013-03-15 TO 2014-02-25,2777.36
25,2013-03-18 TO 2014-02-25,2827.9925
26,2013-03-19 TO 2014-02-25,2884.215
27,2013-03-20 TO 2014-02-25,2842.481
28,2013-03-21 TO 2014-02-25,2840.725000000001
29,2013-03-22 TO 2014-02-25,2831.8995
30,2013-03-25 TO 2014-02-25,2835.902600000001
31,2013-03-26 TO 2014-02-25,2802.6975
32,2013-03-27 TO 2014-02-25,2783.04
33,2013-03-28 TO 2014-02-25,2747.23
34,2013-04-01 TO 2014-02-25,2773.841
35,2013-04-02 TO 2014-02-25,2756.7410000000004
36,2013-04-03 TO 2014-02-25,2825.57
37,2013-04-04 TO 2014-02-25,2812.3370000000004
38,2013-04-05 TO 2014-03-04,2835.943
39,2013-04-08 TO 2014-02-25,2806.732
40,2013-04-09 TO 2014-02-25,2777.922
41,2013-04-10 TO 2014-02-25,2725.8920000000003
42,2013-04-11 TO 2014-02-25,2668.363
43,2013-04-12 TO 2014-02-25,2685.577
44,2013-04-15 TO 2014-02-25,2775.3520000000003
45,2013-04-16 TO 2014-02-25,2702.821000000001
46,2013-04-17 TO 2014-02-25,2731.262
47,2013-04-18 TO 2014-02-25,2798.647
48,2013-04-19 TO 2014-02-25,2774.69
49,2013-04-22 TO 2014-02-25,2781.135
50,2013-04-23 TO 2014-02-25,2483.1
51,2013-04-24 TO 2014-02-25,2495.1
52,2013-04-25 TO 2014-02-25,2472.7025
53,2013-04-26 TO 2014-02-25,2457.78
54,2013-04-29 TO 2014-02-25,2392.0074
55,2013-04-30 TO 2014-03-04,2380.1700000000005
56,2013-05-01 TO 2014-03-04,2440.4928000000004
57,2013-05-02 TO 2014-03-04,2391.778500000001
58,2013-05-03 TO 2014-02-25,2360.6088000000004
59,2013-05-06 TO 2014-02-25,2329.31
60,2013-05-07 TO 2014-02-25,2347.992
61,2013-05-08 TO 2014-02-25,2308.351
62,2013-05-09 TO 2014-02-25,2270.7955999999995
63,2013-05-10 TO 2014-02-25,2175.9346
64,2013-05-13 TO 2014-03-04,2183.2887
65,2013-05-14 TO 2014-03-04,2109.6313
66,2013-05-15 TO 2014-03-04,2106.4700000000007
67,2013-05-16 TO 2014-03-04,2118.61
68,2013-05-17 TO 2014-02-25,2063.5914
69,2013-05-20 TO 2014-02-25,2050.89
70,2013-05-21 TO 2014-02-25,2089.804
71,2013-05-22 TO 2014-02-25,2147.7405
72,2013-05-23 TO 2014-02-25,2133.7568
73,2013-05-24 TO 2014-02-25,2123.9284
74,2013-05-28 TO 2014-02-25,2118.175
75,2013-05-29 TO 2014-02-25,2144.2070000000003
76,2013-05-30 TO 2014-02-25,2121.025
77,2013-05-31 TO 2014-02-25,2155.2868000000008
78,2013-06-03 TO 2014-02-25,2155.158
79,2013-06-04 TO 2014-02-25,2184.1712
80,2013-06-05 TO 2014-02-25,2232.167000000001
81,2013-06-06 TO 2014-02-25,2223.973
82,2013-06-07 TO 2014-02-25,2191.895
83,2013-06-10 TO 2014-02-25,2203.596
84,2013-06-11 TO 2014-02-25,2260.484
85,2013-06-12 TO 2014-02-25,2301.984
86,2013-06-13 TO 2014-02-25,2245.6175000000007
87,2013-06-14 TO 2014-02-25,2259.965
88,2013-06-17 TO 2014-02-25,2174.3189
89,2013-06-18 TO 2014-02-25,2132.711
90,2013-06-19 TO 2014-02-25,2190.325
91,2013-06-20 TO 2014-02-25,2262.3071
92,2013-06-21 TO 2014-02-25,2272.9252
93,2013-06-24 TO 2014-06-20,2237.34
94,2013-06-25 TO 2014-02-25,2190.882
95,2013-06-26 TO 2014-02-25,2147.6650000000004
96,2013-06-27 TO 2014-02-25,2120.825
97,2013-06-28 TO 2014-02-25,2119.4005
98,2013-07-01 TO 2014-07-01,2100.99
99,2013-07-02 TO 2014-07-01,2176.52
100,2013-07-03 TO 2014-07-01,2165.38
101,2013-07-05 TO 2014-07-01,2104.08
102,2013-07-08 TO 2014-07-01,2159.845
103,2013-07-09 TO 2014-07-01,2165.31
104,2013-07-10 TO 2014-07-01,2163.2899999999995
105,2013-07-11 TO 2014-07-01,2109.4
106,2013-07-12 TO 2014-07-01,2122.11
107,2013-07-15 TO 2014-07-01,2108.72
108,2013-07-16 TO 2014-07-01,2121.72
109,2013-07-17 TO 2014-07-01,2109.74
110,2013-07-18 TO 2014-07-01,2101.62
111,2013-07-19 TO 2014-07-01,2084.4
112,2013-07-22 TO 2014-07-01,2070.44
113,2013-07-23 TO 2014-07-01,2101.165
114,2013-07-24 TO 2014-07-01,1949.55
115,2013-07-25 TO 2014-07-01,1942.41
116,2013-07-26 TO 2014-07-01,1942.7
117,2013-07-29 TO 2014-07-01,1961.47
118,2013-07-30 TO 2014-07-01,1954.73
119,2013-07-31 TO 2014-07-01,1953.685
120,2013-08-01 TO 2014-07-01,1902.8
121,2013-08-02 TO 2014-07-23,1942.82
122,2013-08-05 TO 2014-07-23,1897.89
123,2013-08-06 TO 2014-07-01,1911.71
124,2013-08-07 TO 2014-07-23,1936.99
125,2013-08-08 TO 2014-07-23,1932.59
126,2013-08-09 TO 2014-07-23,1923.16
127,2013-08-12 TO 2014-07-23,1909.66
128,2013-08-13 TO 2014-07-23,1913.09
129,2013-08-14 TO 2014-07-01,1922.75
130,2013-08-15 TO 2014-07-01,1990.98
131,2013-08-16 TO 2014-07-01,2005.26
132,2013-08-19 TO 2014-07-01,2015.3
133,2013-08-20 TO 2014-07-01,1984.78
